key,name,activeInSonarWay,triggeredInCurrentProject,currentIssueCount,status,legacyType,legacySeverity,scope,qualityImpacts,systemTags,hasParameters,isTemplate
java:S1109,A close curly brace should be located at the beginning of a line,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1110,Redundant pairs of parentheses should be removed,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,confusing,False,False
java:S1111,"The ""Object.finalize()"" method should not be called",True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,cwe;cert,False,False
java:S1113,"The ""Object.finalize()"" method should not be overridden",True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,unpredictable;cert,False,False
java:S1114,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations",False,False,0,DEPRECATED,BUG,CRITICAL,MAIN,RELIABILITY:HIGH,,False,False
java:S1116,Empty statements should be removed,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,unused;cert,False,False
java:S1117,Local variables should not shadow class fields,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,cert;suspicious;pitfall,False,False
java:S1118,Utility classes should not have public constructors,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,design,False,False
java:S1119,Labels should not be used,True,True,1,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,confusing,False,False
java:S112,Generic exceptions should never be thrown,True,True,1,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cwe;error-handling;cert,False,False
java:S1120,Source code should be indented consistently,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S1121,Assignments should not be made from within sub-expressions,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cwe;cert;suspicious,False,False
java:S1123,Deprecated elements should have both the annotation and the Javadoc tag,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,obsolete;bad-practice,False,False
java:S1124,Modifiers should be declared in the correct order,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,False,False
java:S1125,Boolean literals should not be redundant,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S1126,"Return of boolean expressions should not be wrapped into an ""if-then-else"" statement",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S1128,Unnecessary imports should be removed,True,True,12,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,unused,False,False
java:S113,Files should end with a newline,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1130,"Exceptions in ""throws"" clauses should not be superfluous",True,True,2,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,error-handling;unused;redundant;clumsy,False,False
java:S1132,Strings literals should be placed on the left side when checking for equality,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S1133,Deprecated code should be removed,True,False,0,READY,CODE_SMELL,INFO,MAIN,MAINTAINABILITY:INFO,obsolete,False,False
java:S1134,"Track uses of ""FIXME"" tags",True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,cwe,False,False
java:S1135,"Track uses of ""TODO"" tags",True,False,0,READY,CODE_SMELL,INFO,ALL,MAINTAINABILITY:INFO,cwe,False,False
java:S114,Interface names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,True,False
java:S1141,Try-catch blocks should not be nested,True,True,1,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling;confusing,False,False
java:S1142,Methods should not have too many return statements,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1143,"Jump statements should not occur in ""finally"" blocks",True,False,0,READY,BUG,CRITICAL,MAIN,RELIABILITY:HIGH,cwe;error-handling;cert,False,False
java:S1144,"Unused ""private"" methods should be removed",True,True,3,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,unused,False,False
java:S1147,Exit methods should not be called,False,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,cwe;cert;suspicious,False,False
java:S1149,"Synchronized classes ""Vector"", ""Hashtable"", ""Stack"" and ""StringBuffer"" should not be used",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,performance,False,False
java:S115,Constant names should comply with a naming convention,True,False,0,READY,CODE_SMELL,CRITICAL,ALL,MAINTAINABILITY:HIGH,convention,True,False
java:S1150,"""Enumeration"" should not be implemented",True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,obsolete,False,False
java:S1151,"""switch case"" clauses should not have too many lines of code",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1153,"""String.valueOf()"" should not be appended to a ""String""",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S1155,"""Collection.isEmpty()"" should be used to test for emptiness",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S1157,Case insensitive string comparisons should be made without intermediate upper or lower casing,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,performance;clumsy,False,False
java:S1158,"Primitive wrappers should not be instantiated only for ""toString"" or ""compareTo"" calls",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,performance;clumsy,False,False
java:S116,Field names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,True,False
java:S1160,Public methods should throw at most one checked exception,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling,False,False
java:S1161,"""@Override"" should be used on overriding and implementing methods",True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,bad-practice,False,False
java:S1162,Checked exceptions should not be thrown,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling,False,False
java:S1163,Exceptions should not be thrown in finally blocks,True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,error-handling;cert;suspicious,False,False
java:S1165,Exception classes should have final fields,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,error-handling,False,False
java:S1166,Exception handlers should preserve the original exceptions,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cwe;error-handling;cert;suspicious,True,False
java:S1168,Empty arrays and collections should be returned instead of null,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cert,False,False
java:S117,Local variable and method parameter names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,True,False
java:S1170,"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1171,Only static class initializers should be used,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,pitfall,False,False
java:S1172,Unused method parameters should be removed,True,True,2,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,unused;cert,False,False
java:S1174,"""Object.finalize()"" should remain protected (versus public) when overriding",True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,cwe;cert,False,False
java:S1175,"The signature of ""finalize()"" should match that of ""Object.finalize()""",True,False,0,READY,BUG,CRITICAL,MAIN,RELIABILITY:HIGH,pitfall,False,False
java:S1176,"Public types, methods and fields (API) should be documented with Javadoc",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,convention,True,False
java:S118,Abstract class names should comply with a naming convention,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S1181,Throwable and Error should not be caught,True,True,2,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,cwe;error-handling;bad-practice;cert,False,False
java:S1182,"Classes that override ""clone"" should be ""Cloneable"" and call ""super.clone()""",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention;cwe;cert,False,False
java:S1185,Overriding methods should do more than simply call the same method in the super class,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,redundant;clumsy,False,False
java:S1186,Methods should not be empty,True,False,0,READY,CODE_SMELL,CRITICAL,ALL,MAINTAINABILITY:HIGH,suspicious,False,False
java:S1188,Anonymous classes should not have too many lines,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,,True,False
java:S119,Type parameter names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,True,False
java:S1190,Future keywords should not be used as names,True,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,obsolete;pitfall,False,False
java:S1191,"Classes from ""sun.*"" packages should not be used",True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,lock-in;pitfall,True,False
java:S1192,String literals should not be duplicated,True,True,83,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,design,True,False
java:S1193,"Exception types should not be tested using ""instanceof"" in catch blocks",True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling;cert;clumsy,False,False
java:S1194,"""java.lang.Error"" should not be extended",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling,False,False
java:S1195,"Array designators ""[]"" should be located after the type in method signatures",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1197,"Array designators ""[]"" should be on the type, not the variable",True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,False,False
java:S1199,Nested code blocks should not be used,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S120,Package names should comply with a naming convention,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S1200,Classes should not be coupled to too many other classes,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1201,"""equals"" method overrides should accept ""Object"" parameters",True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,suspicious,False,False
java:S1206,"""equals(Object obj)"" and ""hashCode()"" should be overridden in pairs",True,False,0,READY,BUG,MINOR,MAIN,RELIABILITY:LOW,cwe;cert,False,False
java:S121,Control structures should use curly braces,False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,cert;pitfall,False,False
java:S1210,"""equals(Object obj)"" should be overridden along with the ""compareTo(T obj)"" method",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,,False,False
java:S1213,The members of an interface or class declaration should appear in a pre-defined order,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1214,Interfaces should not solely consist of constants,True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,bad-practice,False,False
java:S1215,Execution of the Garbage Collector should be triggered only by the JVM,True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,unpredictable;bad-practice,False,False
java:S1217,"""Thread.run()"" should not be called directly",True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,cwe;multi-threading;cert,False,False
java:S1219,"""switch"" statements should not contain non-case labels",True,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,suspicious,False,False
java:S122,Statements should be on separate lines,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,convention,False,False
java:S1220,The default unnamed package should not be used,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,convention,False,False
java:S1221,"Methods should not be named ""tostring"", ""hashcode"" or ""equal""",True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,pitfall,False,False
java:S1223,Non-constructor methods should not have the same name as the enclosing class,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,pitfall,False,False
java:S1226,"Method parameters, caught exceptions and foreach variables' initial values should not be ignored",True,False,0,READY,BUG,MINOR,MAIN,RELIABILITY:LOW,,False,False
java:S1228,Packages should have a javadoc file 'package-info.java',False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S124,Track comments matching a regular expression,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,,True,True
java:S1244,Floating point numbers should not be tested for equality,False,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,,False,False
java:S125,Sections of code should not be commented out,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,unused,False,False
java:S1258,Classes and enums with private members should have a constructor,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,pitfall,False,False
java:S126,"""if ... else if"" constructs should end with ""else"" clauses",False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,cert,False,False
java:S1264,"A ""while"" loop should be used instead of a ""for"" loop",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S127,"""for"" loop stop conditions should be invariant",True,True,2,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,pitfall,False,False
java:S128,"Switch cases should end with an unconditional ""break"" statement",True,False,0,READY,CODE_SMELL,BLOCKER,ALL,MAINTAINABILITY:BLOCKER,cwe;cert;suspicious,False,False
java:S1301,"""switch"" statements should have at least 3 ""case"" clauses",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S1309,"Track uses of ""@SuppressWarnings"" annotations",False,False,0,READY,CODE_SMELL,INFO,MAIN,MAINTAINABILITY:INFO,,True,False
java:S131,"""switch"" statements should have ""default"" clauses",True,False,0,READY,CODE_SMELL,CRITICAL,ALL,MAINTAINABILITY:HIGH,cwe;cert,False,False
java:S1310,"Track uses of ""NOPMD"" suppression comments",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S1312,"Loggers should be ""private static final"" and should share a naming convention",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention;logging,True,False
java:S1313,IP addresses should not be hardcoded,True,False,0,READY,CODE_SMELL,MINOR,MAIN,SECURITY:LOW,cert;former-hotspot,False,False
java:S1314,Octal values should not be used,False,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,cert;pitfall,False,False
java:S1315,"Track uses of ""CHECKSTYLE:OFF"" suppression comments",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S1317,"""StringBuilder"" and ""StringBuffer"" should not be instantiated with a character",True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,pitfall,False,False
java:S1319,"Declarations should use Java collection interfaces such as ""List"" rather than specific implementation classes such as ""LinkedList""",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,bad-practice,False,False
java:S134,"Control flow statements ""if"", ""for"", ""while"", ""switch"" and ""try"" should not be nested too deeply",False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,brain-overload,True,False
java:S135,"Loops should not contain more than a single ""break"" or ""continue"" statement",True,True,8,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,brain-overload,False,False
java:S138,Methods should not have too many lines,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S139,Comments should not be located at the end of lines of code,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,True,False
java:S1444,"""public static"" fields should be constant",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,cwe;cert,False,False
java:S1448,Classes should not have too many methods,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1449,String operations should not rely on the default system locale,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,unpredictable;cert,False,False
java:S1450,Private fields only used as local variables in methods should become local variables,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,pitfall,False,False
java:S1451,Track lack of copyright and license headers,False,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,convention,True,False
java:S1452,Generic wildcard types should not be used in return types,True,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,pitfall,False,False
java:S1479,"""switch"" statements should not have too many ""case"" clauses",True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1481,Unused local variables should be removed,True,True,1,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,unused;java22,False,False
java:S1488,Local variables should not be declared and then immediately returned or thrown,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,clumsy,False,False
java:S1541,Methods should not be too complex,False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,brain-overload,True,False
java:S1596,"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used",True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,obsolete;pitfall,False,False
java:S1598,Package declaration should match source file directory,True,False,0,READY,CODE_SMELL,CRITICAL,ALL,MAINTAINABILITY:HIGH,pitfall,False,False
java:S1602,Lambdas containing only one statement should not nest this statement in a block,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,java8,False,False
java:S1604,Anonymous inner classes containing only one method should become lambdas,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,java8,False,False
java:S1607,JUnit4 @Ignored and JUnit5 @Disabled annotations should be used to disable tests and should provide a rationale,True,False,0,READY,CODE_SMELL,MAJOR,TEST,MAINTAINABILITY:MEDIUM,junit;tests;bad-practice;suspicious;confusing,False,False
java:S1610,Abstract classes without fields should be converted to interfaces,False,False,0,DEPRECATED,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,,False,False
java:S1611,Parentheses should be removed from a single lambda parameter when its type is inferred,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,java8,False,False
java:S1612,Lambdas should be replaced with method references,True,True,11,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,java8,False,False
java:S1640,Maps with keys that are enum values should use the EnumMap implementation,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,performance,False,False
java:S1641,Sets with elements that are enum values should be replaced with EnumSet,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,performance,False,False
java:S1643,Strings should not be concatenated using '+' in a loop,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,performance,False,False
java:S1656,Variables should not be self-assigned,True,False,0,READY,BUG,MAJOR,ALL,RELIABILITY:MEDIUM,cert,False,False
java:S1659,Multiple variables should not be declared on the same line,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention;cert,False,False
java:S1694,An abstract class should have both abstract and concrete methods,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,convention,False,False
java:S1695,"""NullPointerException"" should not be explicitly thrown",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling;pitfall,False,False
java:S1696,"""NullPointerException"" should not be caught",False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,error-handling;cwe;cert,False,False
java:S1698,"""=="" and ""!="" should not be used when ""equals"" is overridden",False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,cwe;cert;suspicious,False,False
java:S1699,Constructors should only call non-overridable methods,False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,cert;pitfall,False,False
java:S1700,A field should not duplicate the name of its containing class,True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,False,False
java:S1710,Annotation repetitions should not be wrapped,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,java8,False,False
java:S1711,Standard functional interfaces should not be redefined,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,java8,False,False
java:S1751,Loops with at most one iteration should be refactored,True,False,0,READY,BUG,MAJOR,ALL,RELIABILITY:MEDIUM,bad-practice;confusing,False,False
java:S1764,Identical expressions should not be used on both sides of a binary operator,True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,cert,False,False
java:S1774,The ternary operator should not be used,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,False,False
java:S1820,Classes should not have too many fields,False,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,brain-overload,True,False
java:S1821,"""switch"" statements and expressions should not be nested",False,False,0,READY,CODE_SMELL,CRITICAL,MAIN,MAINTAINABILITY:HIGH,pitfall,False,False
java:S1844,"""Object.wait"" should not be called on objects that implement ""java.util.concurrent.locks.Condition""",True,False,0,READY,CODE_SMELL,MAJOR,MAIN,MAINTAINABILITY:MEDIUM,suspicious,False,False
java:S1845,Methods and field names should not be the same or differ only by capitalization,True,False,0,READY,CODE_SMELL,BLOCKER,MAIN,MAINTAINABILITY:BLOCKER,confusing,False,False
java:S1849,"""Iterator.hasNext()"" should not call ""Iterator.next()""",True,False,0,READY,BUG,MAJOR,ALL,RELIABILITY:MEDIUM,,False,False
java:S1854,Unused assignments should be removed,True,True,1,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,cwe;cert;unused,False,False
java:S1858,"""toString()"" should never be called on a String object",True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,finding;clumsy,False,False
java:S1860,Synchronization should not be done on instances of value-based classes,True,False,0,READY,BUG,MAJOR,MAIN,RELIABILITY:MEDIUM,multi-threading;cert,False,False
java:S1862,"Related ""if/else if"" statements should not have the same condition",True,False,0,READY,BUG,MAJOR,ALL,RELIABILITY:MEDIUM,unused;cert;pitfall,False,False
java:S1871,Two branches in a conditional structure should not have exactly the same implementation,True,False,0,READY,CODE_SMELL,MAJOR,ALL,MAINTAINABILITY:MEDIUM,design;suspicious,False,False
java:S1872,Classes should not be compared by name,True,False,0,READY,BUG,MAJOR,ALL,RELIABILITY:MEDIUM,cwe;cert,False,False
java:S1874,"""@Deprecated"" code should not be used",False,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,cwe;obsolete;cert,False,False
java:S1905,Redundant casts should not be used,True,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,redundant;clumsy,False,False
java:S1939,Extensions and implementations should not be redundant,False,False,0,READY,CODE_SMELL,MINOR,MAIN,MAINTAINABILITY:LOW,clumsy,False,False
java:S1940,Boolean checks should not be inverted,True,False,0,READY,CODE_SMELL,MINOR,ALL,MAINTAINABILITY:LOW,pitfall,False,False
